# LG_lower and the columns listed in derived_from_LG are FLOAT ESTIMATES, not certified bounds.
# H2plus: validated against certified runs C1/C2 to ~1e-6 -- usable for cell selection.
# H3plus: UNRELIABLE at the 1e-4 level (certified/float ratio 0.9845 at D3a but 2.39 at D1);
#   at d_paper=2.8, L=12, N=64 the float LG_lower -0.93640124532559 exceeds a four-way-verified
#   variational upper bound -0.936444734 by 4.3489e-05, so it is not a bound. DO NOT QUOTE as a width.
# Ritz columns (mu1N_Ritz, lambda1D_Ritz, trunc_gap_discrete, truncation_term, sigma_confinement)
#   do not pass through the Lehmann-Goerisch chain and are unaffected; the L*(N) curve SHAPE stands.
system,d_paper,box,L,Ly,N,Nprime,D,D_aux,npanel,t_star,mu1N_Ritz,eee2_Ritz,lambda1D_Ritz,mu2N_oee_Ritz,eoe_Ritz,rho_used,LG_lower,LG_lower_ideal_rho,enclosure_width,truncation_term,LG_discretisation_term,trunc_gap_discrete,lambda_ref,reference_status,sigma_confinement,hypothesis_holds,max_a_over_L,clearance,moment_tail_bound,tier,status,reason,wall_seconds,LG_lower_status,derived_from_LG
H2plus,2.0,"[-14,14]x[-11.2,11.2]^2",14,11.2,64,80.0,35937,68921.0,67,1.0,-0.5511808746459324,-0.1937801395109564,-0.5511691097204322,-0.3337274505394047,,-0.3399531929394049,-0.5513927107345395,-0.5513885886164664,0.0002236010141072,0.0001478902795677,7.571073453960242e-05,1.1764925500146184e-05,-0.551317,exact_spheroidal,-0.1757906384836573,True,0.1428571428571427,12.0,5.941719739612334e-56,lg,ok,,278.2032279968262,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-16,16]x[-12.8,12.8]^2",16,12.8,24,,2197,,77,1.0,-0.548307959714,-0.1864670638591,-0.5484619074798999,,,,,,,,,-0.00015394776592,-0.551317,exact_spheroidal,-0.1543768802736,True,0.125,14.0,1.093986873398e-72,dense,ok,,0.9029309749603,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-16,16]x[-12.8,12.8]^2",16,12.8,32,48.0,4913,15625.0,77,1.0,-0.5498685794334257,-0.1866433847495755,-0.5500391320011783,-0.3323183419768666,,-0.3385440843768666,-0.5528671391115205,-0.5528091246439633,0.0028280071103419,0.0012778679988214,0.0015501391115204,-0.0001705525677527,-0.551317,exact_spheroidal,-0.1543768802736094,True,0.125,14.0,1.0939868733979428e-72,lg,ok,,11.440829992294312,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-16,16]x[-12.8,12.8]^2",16,12.8,40,,9261,,77,1.0,-0.5505359164291999,-0.1867290033956,-0.5505604813162,,,,,,,,,-2.456488699709e-05,-0.551317,exact_spheroidal,-0.1543768802736,True,0.125,14.0,1.093986873398e-72,dense,ok,,8.918579816818,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-16,16]x[-12.8,12.8]^2",16,12.8,48,64.0,15625,35937.0,77,1.0,-0.5508527730963148,-0.1867648699739782,-0.5508902405045856,-0.3333116412909237,,-0.3395373836909237,-0.5516592046215057,-0.5516435373830368,0.0007689641169201,0.0004267594954141,0.000342204621506,-3.7467408271041336e-05,-0.551317,exact_spheroidal,-0.1543768802736094,True,0.125,14.0,1.0939868733979428e-72,lg,ok,,82.38344597816467,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-16,16]x[-12.8,12.8]^2",16,12.8,56,,24389,,77,1.0,-0.5510130811115999,-0.1867847397267,-0.5510189181758,,,,,,,,,-5.837064217973e-06,-0.551317,exact_spheroidal,-0.1543768802736,True,0.125,14.0,1.093986873398e-72,dense,ok,,69.07480597496,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-16,16]x[-12.8,12.8]^2",16,12.8,64,80.0,35937,68921.0,77,1.0,-0.5511137637876,-0.1867961989435897,-0.5511251820297135,-0.3335770383604166,,-0.3398027807604167,-0.5514153255017958,-0.5514094612692693,0.0002901434720822,0.0001918179702864,9.832550179589283e-05,-1.1418242113481192e-05,-0.551317,exact_spheroidal,-0.1543768802736094,True,0.125,14.0,1.0939868733979428e-72,lg,ok,,282.8921627998352,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-20,20]x[-16,16]^2",20,16.0,24,,2197,,96,1.0,-0.5463494500937,-0.1808004951778,-0.5469498382027,,,,,,,,,-0.0006003881090341,-0.551317,exact_spheroidal,-0.1240347345892,True,0.1,18.0,8.270326320887002e-113,dense,ok,,0.9441499710083,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-20,20]x[-16,16]^2",20,16.0,32,48.0,4913,15625.0,96,1.0,-0.5485270655919976,-0.181157206607932,-0.5486625320447862,-0.3311053098787046,,-0.3373310522787048,-0.554402800438278,-0.5542896369178772,0.0057402683934917,0.0026544679552137,0.0030858004382781,-0.0001354664527886,-0.551317,exact_spheroidal,-0.1240347345892084,True,0.1,18.0,8.270326320886854e-113,lg,ok,,11.692589044570925,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-20,20]x[-16,16]^2",20,16.0,40,,9261,,96,1.0,-0.5498277810321,-0.1813192350466,-0.5499722512300999,,,,,,,,,-0.0001444701980364,-0.551317,exact_spheroidal,-0.1240347345892,True,0.1,18.0,8.270326320887002e-113,dense,ok,,9.296733140945,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
